obj_id,ob_code,ra,dec,equinox,exptime,priority,resolution,g_hsc,g_hsc_error,r2_hsc,r2_hsc_error,i2_hsc,i2_hsc_error,z_hsc,z_hsc_error,y_hsc,y_hsc_error,g_sdss,g_sdss_error,r_ps1,r_ps1_error,i_sdss,i_sdss_error,z_ps1,z_ps1_error,y_ps1,y_ps1_error
25,ob_00000025,70.06993482670833,12.953129431451677,J2000.0,3600.0,1,L,6220.00,1557.30,30492.54,6024.72,175159.50,23623.66,7336.67,690.30,6440.24,360.61,138870.58,17230.35,9154.90,2581.61,,,,,,
26,ob_00000026,168.0195613417323,-0.94243945339451,J2000.0,3600.0,8,M,2688.19,294.73,1147.55,171.25,17953.66,5183.66,3613.99,563.33,88571.74,15953.04,,,25808.07,4463.59,,,8207.59,2232.52,978.93,101.60
27,ob_00000027,15.76935568340236,-16.746529086627824,J2000.0,3600.0,8,L,12063.31,3164.84,,,4490.15,497.95,2852.82,536.46,1672.50,277.50,20378.88,2013.36,,,16392.34,2785.87,,,178766.95,16232.34
28,ob_00000028,55.544217144317216,-20.39063960001434,J2000.0,3600.0,0,M,6934.22,445.93,3213.28,872.85,99749.42,7454.39,,,,,1231.22,79.40,1473.77,295.49,31390.69,9244.92,,,3669.69,700.28
29,ob_00000029,245.89762316728365,21.188863883834276,J2000.0,3600.0,7,M,46604.36,11662.32,41085.86,3981.15,176320.31,42030.56,,,16496.04,1498.63,28317.60,8136.31,58594.91,13733.40,66282.95,11183.21,49863.50,6137.09,,
30,ob_00000030,268.1143761268142,-14.472977170508216,J2000.0,3600.0,0,M,3946.90,1112.82,5123.94,364.84,106735.06,28846.11,,,1302.26,282.70,3237.01,487.88,3911.51,265.84,177700.32,14701.21,23225.97,6805.62,8687.23,1794.26
31,ob_00000031,348.3035036763156,58.88784372037617,J2000.0,3600.0,7,L,74856.41,18192.14,4645.42,629.37,,,,,164904.28,23776.48,,,5405.89,967.23,,,181176.10,41135.33,,
32,ob_00000032,117.2971289297347,20.596993596384763,J2000.0,3600.0,8,L,4925.89,1106.01,,,217658.95,21879.52,,,69754.49,14277.26,,,12722.80,2167.94,4493.84,1286.83,19243.38,3899.30,,
33,ob_00000033,133.3654941725528,0.48618371856673526,J2000.0,3600.0,1,L,1969.13,510.98,6635.40,1671.18,,,946.05,169.45,8998.06,540.10,,,80821.60,22664.09,206894.66,24093.37,,,215653.58,60028.99
34,ob_00000034,169.04009205929086,21.483808460773528,J2000.0,3600.0,4,M,110395.96,6627.93,215900.50,64702.32,192716.80,34785.97,48511.94,3580.17,,,6199.25,581.90,,,20228.87,3560.60,,,,
35,ob_00000035,68.20968927034285,-27.81195596352856,J2000.0,3600.0,1,L,7682.25,771.65,72154.20,8953.65,124305.19,20771.92,162573.05,37710.58,5359.63,967.75,5560.99,1406.91,1133.70,189.42,6521.95,473.99,21865.21,1309.31,,
36,ob_00000036,46.77174192076979,64.84709300611152,J2000.0,3600.0,5,L,135447.25,11002.51,,,,,,,,,20728.92,2408.24,,,,,,,55171.93,11465.91
37,ob_00000037,171.25377344133614,11.947835879545613,J2000.0,3600.0,9,L,4152.24,731.35,92682.31,7804.34,,,112286.58,14550.27,132441.25,11245.05,64751.61,18021.75,1435.94,233.55,3133.60,885.33,51425.87,3126.37,80393.50,16483.62
38,ob_00000038,81.68736565831828,40.348248149477584,J2000.0,3600.0,0,M,143620.45,33937.09,,,,,98722.44,16319.04,72985.34,7088.23,,,995.30,94.77,2598.68,456.34,1640.65,84.02,,
39,ob_00000039,241.13303808570373,-22.25466396373438,J2000.0,3600.0,3,L,1299.40,269.63,2253.56,674.71,8780.74,2544.95,6958.59,1086.89,22153.29,3013.63,90095.83,19769.47,32739.98,3412.46,4486.48,1313.57,21760.54,5056.58,,
40,ob_00000040,157.37469079403905,12.321969892146148,J2000.0,3600.0,9,M,107206.46,28172.01,968.46,218.12,2095.83,446.68,,,86550.20,6422.24,,,,,,,,,8482.65,459.09
41,ob_00000041,299.7641505808215,12.670274285811274,J2000.0,3600.0,3,L,1144.69,101.65,10608.97,2109.10,,,,,108827.62,31215.02,81101.97,8825.04,16694.04,837.07,16593.81,2922.77,,,2874.42,832.21
42,ob_00000042,252.0954367208097,61.01942487556562,J2000.0,3600.0,1,L,2740.80,640.40,,,,,39266.70,5431.94,,,126604.85,15072.54,,,8162.55,2162.12,22772.78,3823.78,3569.64,701.08
43,ob_00000043,112.45199089753478,19.761822686614696,J2000.0,3600.0,4,L,8613.17,846.33,962.12,268.26,7483.66,846.47,4141.60,1022.42,38998.39,9837.05,14643.52,4263.16,,,58971.41,9557.09,,,1651.58,405.24
44,ob_00000044,299.6135285022724,11.19217284454875,J2000.0,3600.0,5,M,3031.81,356.81,104753.82,18251.17,93199.94,11528.23,17920.96,4624.15,31201.76,9160.97,12974.21,1506.95,23458.50,5474.43,,,,,,
45,ob_00000045,289.7151686988487,-6.236547703593964,J2000.0,3600.0,6,L,2829.60,643.67,19240.24,1608.33,,,,,168791.67,11846.44,,,1814.29,105.30,66586.05,17569.98,,,58419.66,3102.04
46,ob_00000046,139.4922164508628,-0.7989836606919467,J2000.0,3600.0,3,L,1228.95,362.60,,,,,8331.65,1284.46,31791.64,6768.99,20511.53,3243.47,47673.48,9176.94,18546.14,2735.04,32761.83,5911.17,10614.37,1883.35
47,ob_00000047,103.79811741488788,15.26401028651577,J2000.0,3600.0,9,M,56478.08,11458.61,147191.16,9831.14,,,16800.36,2190.54,53022.81,14202.28,,,2946.44,260.97,23257.73,4248.74,,,44280.38,7828.66
48,ob_00000048,245.6983814309912,8.245311878743735,J2000.0,3600.0,5,M,8786.54,559.04,,,1428.55,423.05,,,7849.39,1637.06,15592.89,3803.85,,,86297.70,25382.90,23324.92,4654.30,,
49,ob_00000049,50.31089409935153,-27.925188621327955,J2000.0,3600.0,2,M,135482.10,27648.81,,,18590.98,5495.34,,,73631.44,11579.02,16327.82,3967.05,,,2406.59,232.53,,,,
50,ob_00000050,71.966952891039,45.339373080224576,J2000.0,3600.0,9,M,7606.81,460.88,17124.40,2796.76,8161.71,2352.61,,,,,,,1735.91,358.74,1375.16,172.38,55445.69,16564.53,,
51,ob_00000051,2.6504171103619845,54.4595374239323,J2000.0,3600.0,9,L,88899.82,24095.09,99628.79,20786.06,,,5402.24,1476.21,,,158350.04,40978.05,43334.24,5701.03,,,1077.82,75.11,1049.50,190.89
52,ob_00000052,283.2927759007698,-17.121876293511257,J2000.0,3600.0,4,M,10095.28,2295.61,84290.00,11448.53,,,2135.90,183.64,131948.81,24232.42,,,3247.41,683.22,,,2996.86,438.05,22877.57,3290.24
53,ob_00000053,239.34630837313156,18.19040884911578,J2000.0,3600.0,0,L,9686.50,903.58,1523.88,236.35,2561.05,322.99,183396.49,49474.36,126541.48,37758.17,64994.61,3319.69,35607.73,5450.28,207555.24,20765.04,,,11753.03,3437.56
54,ob_00000054,253.85953630548065,-19.927816917860866,J2000.0,3600.0,5,M,17443.58,1272.16,,,39431.39,7421.96,,,121120.19,35085.72,6756.76,1302.65,8030.25,1926.54,,,2230.86,307.93,15521.12,1447.06
55,ob_00000055,281.0624511679084,29.042228995474588,J2000.0,3600.0,5,M,12755.10,1223.00,63263.69,15056.17,,,1652.07,146.01,,,172981.51,51638.34,,,,,104460.13,12730.37,126622.55,16450.35
56,ob_00000056,165.20967919380237,-5.0331517214669645,J2000.0,3600.0,1,M,3361.89,991.78,45609.74,8447.57,8283.97,2165.84,3638.44,667.51,,,1010.81,60.31,2338.68,646.52,214326.33,46873.85,12488.08,1169.31,61932.02,7647.99
57,ob_00000057,204.74683054304174,27.81800997681675,J2000.0,3600.0,6,M,2765.75,455.35,,,,,954.25,63.82,2061.97,258.66,17154.88,1749.79,200132.67,35033.71,3378.73,391.49,89547.10,21582.55,,
58,ob_00000058,50.32691932595668,34.452316895905376,J2000.0,3600.0,8,M,15094.97,3713.67,8964.61,2458.54,23245.42,4314.14,12150.86,767.96,,,1613.57,290.00,,,1075.27,149.25,2490.32,433.49,157870.75,27598.97
59,ob_00000059,41.23082647295044,38.812969727287516,J2000.0,3600.0,1,M,8336.35,1743.15,,,39598.11,3616.41,5970.49,299.30,,,16544.48,4177.24,4481.23,1176.02,1534.03,210.49,9078.43,2540.25,1331.96,280.96
60,ob_00000060,240.62506624456978,-20.002415852974384,J2000.0,3600.0,7,M,1333.62,257.53,143920.68,18901.92,148778.39,16858.66,,,12515.69,3554.06,164136.83,11860.61,,,1072.25,245.75,53422.18,3106.40,,
61,ob_00000061,169.5946342115277,57.43756171990245,J2000.0,3600.0,1,L,118205.96,10199.11,,,194265.89,17499.08,1218.75,296.96,928.91,240.93,,,14809.75,1569.63,10945.20,1823.77,,,76708.98,9305.20
62,ob_00000062,203.48499833322796,-9.353391819378745,J2000.0,3600.0,7,L,119936.52,34362.55,,,,,30254.84,1776.25,179465.00,14245.23,,,168848.07,20552.71,,,121214.19,18281.33,3336.02,744.58
63,ob_00000063,275.39958866976923,-26.433317963177448,J2000.0,3600.0,4,L,141090.69,17683.70,6757.52,1591.93,206213.95,40429.68,3868.78,824.30,,,,,33430.12,3764.51,,,,,,
64,ob_00000064,228.4985952002127,18.26259493222311,J2000.0,3600.0,0,M,6041.27,1175.05,6339.31,1253.19,91797.19,21460.56,,,38243.00,9892.58,21497.72,2089.77,1922.03,222.41,7705.70,1487.11,4260.91,492.91,1582.46,182.93
65,ob_00000065,199.2885842368785,2.507178455490978,J2000.0,3600.0,9,L,22664.18,5098.17,,,4164.47,516.43,10271.52,944.98,1211.30,107.73,6744.53,666.86,193133.31,37779.04,,,165486.86,49068.08,4152.58,689.04
66,ob_00000066,201.31457786834886,45.75889090648389,J2000.0,3600.0,1,L,3174.16,673.90,3380.90,422.09,,,4290.64,372.07,9452.22,1736.60,2018.60,307.86,,,,,8416.77,860.53,,
67,ob_00000067,109.4220353025404,43.2227664363637,J2000.0,3600.0,5,L,5611.06,1599.98,166165.04,18335.15,3867.29,584.79,,,,,7005.56,1189.92,,,9718.05,1318.38,2522.53,251.07,,
68,ob_00000068,11.094420444458187,-2.0113750122957232,J2000.0,3600.0,1,M,36246.78,3157.45,,,,,1524.03,389.82,,,33541.56,8903.73,,,98041.18,5857.46,157737.32,30508.00,6983.80,1533.49
69,ob_00000069,157.21826012365045,63.75091868230485,J2000.0,3600.0,9,M,1599.26,283.21,,,1674.76,407.12,,,1026.31,153.24,,,,,3841.95,667.16,13508.80,2357.28,3486.27,825.14
70,ob_00000070,77.25048221503052,-4.2171105754366485,J2000.0,3600.0,7,M,3387.84,511.59,,,8606.11,875.27,6412.50,1633.91,14563.48,2348.42,5591.78,1244.73,55173.40,14620.54,151341.65,12256.33,54886.15,10708.81,2356.81,422.21
71,ob_00000071,147.07031174086902,14.775691531854326,J2000.0,3600.0,8,L,51370.78,8658.14,2154.02,260.23,,,34540.62,2527.99,14968.80,984.64,,,1906.07,539.86,4060.00,445.04,,,,
72,ob_00000072,307.2251063765398,-7.167714177469862,J2000.0,3600.0,4,L,30615.34,2443.24,,,103532.15,8299.53,,,1071.22,313.00,29499.21,4512.22,3710.54,374.64,2101.12,497.50,118897.94,30519.98,8977.94,1337.86
73,ob_00000073,84.21821491152267,60.71184710311907,J2000.0,3600.0,4,L,40303.62,3366.31,3275.62,812.33,4972.46,1362.60,20131.67,4719.86,27941.02,3567.05,,,1715.17,312.39,16829.65,1391.61,,,38555.65,2325.42
74,ob_00000074,20.988987008063766,-14.99276961635002,J2000.0,3600.0,6,L,95880.89,11459.58,,,,,,,25464.78,2478.76,2575.76,723.37,69467.31,17937.10,13690.12,3446.30,1631.74,256.34,4858.96,364.36
75,ob_00000075,101.29820112791876,-25.73213292302675,J2000.0,3600.0,7,L,101232.49,12773.13,14076.69,2246.59,13883.45,1612.35,,,9048.85,1099.54,14001.37,1560.72,,,40802.40,11597.14,,,,
76,ob_00000076,105.6937527960061,7.921719610106036,J2000.0,3600.0,8,M,1298.06,203.76,,,,,,,,,3910.43,908.99,,,1079.69,217.70,38385.03,10251.07,8911.44,2663.53
77,ob_00000077,238.28994530168222,72.6977206877301,J2000.0,3600.0,0,M,20371.84,4130.33,8931.05,2667.49,,,,,,,18059.15,4309.69,,,,,,,5828.71,314.46
78,ob_00000078,200.5315748428602,53.81673024377615,J2000.0,3600.0,6,M,27544.34,5747.33,2086.13,456.13,,,,,,,69632.45,5183.93,64004.26,18962.01,,,4331.62,831.40,,
79,ob_00000079,282.20335527830883,36.6841860326913,J2000.0,3600.0,1,L,4062.13,621.31,34880.45,8847.76,947.54,153.94,,,129455.24,29381.29,3728.30,622.84,,,,,,,3510.02,834.52
80,ob_00000080,239.15287451785952,53.691042492396306,J2000.0,3600.0,2,L,10784.91,1641.42,,,9054.55,1007.90,37695.33,3950.37,,,110975.62,11113.17,1147.00,286.30,,,96583.03,8941.63,,
81,ob_00000081,146.2992701184254,54.06921867593033,J2000.0,3600.0,8,M,1297.97,135.52,12151.04,3000.06,113609.87,25853.21,76781.46,7838.99,8822.77,2593.67,76453.82,7365.85,4528.55,531.12,17643.57,1600.52,128835.76,8668.65,94420.35,17590.63
82,ob_00000082,293.04733847977246,15.106134087763833,J2000.0,3600.0,2,L,3070.98,605.22,128247.43,12349.57,1608.70,422.82,,,,,7171.67,1190.19,,,1252.67,225.22,913.19,211.83,74856.12,15343.93
83,ob_00000083,60.11025116677341,-2.113057074733957,J2000.0,3600.0,7,L,16199.93,2094.01,25320.60,4824.65,,,1970.09,157.07,,,,,3753.29,701.19,3963.23,726.51,,,11623.83,2605.85
84,ob_00000084,8.176346328189773,39.176615171862885,J2000.0,3600.0,4,L,28624.46,1689.27,1440.09,108.69,,,58609.38,4190.31,,,1632.11,406.42,12137.49,2308.48,,,1844.69,426.01,16021.35,4241.52
85,ob_00000085,32.41722987923103,28.0308130111634,J2000.0,3600.0,2,M,981.94,151.81,7014.60,1495.73,,,5716.92,537.81,6925.35,1724.05,50791.66,14064.27,16492.21,2908.82,1981.77,402.85,15933.00,1061.13,9732.68,784.19
86,ob_00000086,260.0493662147221,2.7371731832767217,J2000.0,3600.0,3,M,4338.86,731.24,,,50623.33,5674.96,112080.30,10517.24,,,,,19103.93,3995.92,28334.71,1516.79,,,,
87,ob_00000087,166.27580289049945,-21.193504460812385,J2000.0,3600.0,5,L,1194.35,127.08,35216.52,6274.99,173281.71,19268.77,,,,,,,6651.90,1011.63,2069.51,583.43,141051.43,36515.75,24532.20,1386.18
88,ob_00000088,58.05784045209664,36.49396965901718,J2000.0,3600.0,7,M,119028.62,22986.15,79460.77,12574.12,8571.12,774.09,,,,,97585.34,11567.14,75217.01,17848.51,60244.99,6997.07,,,9138.02,2367.20
89,ob_00000089,180.37611903721088,-6.6181804957618375,J2000.0,3600.0,6,M,2083.14,398.80,,,44935.29,12806.77,47813.46,14229.15,,,76842.10,8735.57,,,7502.65,449.33,,,9026.94,624.53
90,ob_00000090,54.83235697674063,60.84424963090362,J2000.0,3600.0,9,M,6776.77,1528.17,,,5852.07,1591.75,,,18944.73,4285.48,,,,,1367.70,105.40,1219.04,78.11,6058.97,597.76
91,ob_00000091,250.67533502798497,-8.438921209640725,J2000.0,3600.0,8,M,116785.24,24756.97,,,2254.30,550.81,1496.98,319.43,9930.20,1695.43,12287.42,3513.58,33193.06,2715.41,55087.67,6063.07,,,4280.37,218.19
92,ob_00000092,160.61625920665105,-18.665705370481742,J2000.0,3600.0,7,L,8875.25,1891.39,,,207211.90,37177.00,74807.69,12132.49,,,1742.68,262.29,9361.33,909.72,4977.10,589.67,32181.35,3497.34,,
93,ob_00000093,137.1676413947337,45.91838221492121,J2000.0,3600.0,6,M,5168.55,667.02,,,8517.01,1470.48,11455.40,1698.03,6011.62,881.22,,,105083.49,27598.10,978.25,56.94,18798.34,3516.57,2906.81,388.32
94,ob_00000094,108.54435209323555,-15.979688065782273,J2000.0,3600.0,2,L,214029.46,52834.90,220011.46,14604.93,63815.58,11642.29,4749.65,1276.57,,,,,1062.60,171.68,99669.92,11944.31,,,,
95,ob_00000095,226.90173352279984,-13.721692161876643,J2000.0,3600.0,4,M,18605.31,3484.52,49288.65,8072.47,,,1183.00,347.68,,,87009.49,13033.92,1559.76,166.84,140551.18,13807.11,80147.78,19947.29,,
96,ob_00000096,130.25253979922056,22.250129788741607,J2000.0,3600.0,1,M,2393.54,377.83,4706.73,842.61,56390.40,8945.82,7867.83,2110.27,,,31736.69,1865.46,,,,,1599.19,275.42,8037.64,1210.41
97,ob_00000097,31.55397095379636,51.448020602490445,J2000.0,3600.0,3,M,44785.59,9248.36,,,7837.03,649.99,,,28273.35,1961.01,,,36543.38,6888.25,,,56501.73,9897.14,130959.17,31681.02
98,ob_00000098,42.482124763385514,-12.242007473128703,J2000.0,3600.0,9,M,18175.43,2547.55,1008.48,63.27,10752.32,875.41,7225.24,760.09,135788.99,33263.88,,,89965.65,4974.11,154530.16,20823.24,4648.86,1381.98,50631.91,13836.82
99,ob_00000099,346.2831592378252,-2.5842576479321706,J2000.0,3600.0,4,M,19881.36,3542.56,7432.61,579.00,25656.68,7390.72,,,91506.02,14779.89,50555.54,12422.83,71079.90,9175.73,16567.86,2186.64,,,,
